
Jama Masjid| Mumbai,3.5, 17 kms  from city center ,site-seeing,35,mumbai,https://www.holidify.com/images/cmsuploads/square/1030-juma-masjid-of-mumbai_20171018144000.jpg
Mahipatagad Trek,3.5, 152 kms  from city center ,site-seeing,36,mumbai,https://www.holidify.com/images/cmsuploads/square/5768216442_6463ed1c81_z_20190318175326_20190318175506.jpg
Mount Mary Church,3, 7 kms  from city center ,site-seeing,37,mumbai,https://www.holidify.com/images/cmsuploads/square/PDD_6763_12X_8webnew.232115134_20180214130404.jpg
Gorai Beach,3, 21 kms  from city center ,site-seeing,38,mumbai,https://www.holidify.com/images/cmsuploads/square/282552235_0be927c090_o_20180327001842.jpg
Madh Island,3, 12 kms  from city center ,site-seeing,39,mumbai,https://www.holidify.com/images/cmsuploads/square/4470813350_d3e3d0fa18_o_20180327003219.jpg
Marve Beach,3, 16 kms  from city center ,site-seeing,40,mumbai,https://www.holidify.com/images/cmsuploads/square/marve_20180327001732.jpg
Versova Beach,3, 8 kms  from city center ,site-seeing,41,mumbai,https://www.holidify.com/images/cmsuploads/square/4562083757_7eb6c481b0_o_20180327004156.jpg
Dadar Chowpatty Beach,3, 7 kms  from city center ,site-seeing,42,mumbai,https://www.holidify.com/images/cmsuploads/square/800px-View_of_Bandra_Worli_Sealink_from_Dadar_Chowpatty_At_Sunset_20180327041040.jpg
Aksa Beach,3, 14 kms  from city center ,site-seeing,43,mumbai,https://www.holidify.com/images/cmsuploads/square/Aksa_Beach_early_morning_20180327043223.jpg
Kalamb Beach,3, 38 kms  from city center ,site-seeing,44,mumbai,https://www.holidify.com/images/cmsuploads/square/e49f40db8869bad6690db63cc972ce3b(1)_20180407134931.jpg
Worli Sea Face,3, 10 kms  from city center ,site-seeing,45,mumbai,https://www.holidify.com/images/cmsuploads/square/2196885743_b45d73fa62_20190408164656_20190408164804.jpg
Uran,3, 23 kms  from city center ,site-seeing,46,mumbai,https://www.holidify.com/images/cmsuploads/square/Uran_Sunset_-_panoramio_20180327140018.jpg
Bandstand,3, 5 kms  from city center ,site-seeing,47,mumbai,https://www.holidify.com/images/cmsuploads/square/Bandra_Bandstand_20180328172404.jpg
Carter Road,3, 6 kms  from city center ,site-seeing,48,mumbai,https://www.holidify.com/images/cmsuploads/square/CarterRoad_20191224181258_20191224181353.jpg
Vasind,3, 55 kms  from city center ,site-seeing,49,mumbai,https://www.holidify.com/images/cmsuploads/square/vasind_20180912221534.jpg
Adlabs Imagica,3, 55 kms  from city center ,site-seeing,50,mumbai,https://www.holidify.com/images/cmsuploads/square/Adlabs_Imagica_2013_(10364145606)_20181112222911_20181112223447.jpg
Yazoo Park,3, 44 kms  from city center ,site-seeing,51,mumbai,https://www.holidify.com/images/cmsuploads/square/p_20181112223726_20181112224206.PNG
Smaaash| Mumbai,3, 9 kms  from city center ,site-seeing,52,mumbai,https://www.holidify.com/images/cmsuploads/square/2(7)_20181113184103_20181113184325.jpg
Snow World Mumbai,3, 2 kms  from city center ,site-seeing,53,mumbai,https://www.holidify.com/images/cmsuploads/square/image_1_20181113184551_20181113184929.jpg
Water Kingdom,3, 19 kms  from city center ,site-seeing,54,mumbai,https://www.holidify.com/images/cmsuploads/square/r_20181113185242_20181113185754.PNG
KidZania Mumbai,3, 5 kms  from city center ,site-seeing,55,mumbai,https://www.holidify.com/images/cmsuploads/square/s_20181113190205_20181113190825.PNG
Vardhaman Fantasy Amusement Park,3, 24 kms  from city center ,site-seeing,56,mumbai,https://www.holidify.com/images/cmsuploads/square/t_20181113191146_20181113191545.PNG
Suraj Water Park,3, 22 kms  from city center ,site-seeing,57,mumbai,https://www.holidify.com/images/cmsuploads/square/header6003_20181113191755_20181113192207.jpg
Joggers Park,3, 6 kms  from city center ,site-seeing,58,mumbai,https://www.holidify.com/images/cmsuploads/square/Joggerspark_20181117231612_20181117232728.jpg
Horniman Circle Garden,3, 17 kms  from city center ,site-seeing,59,mumbai,https://www.holidify.com/images/cmsuploads/square/800px-Horniman_Circle_Mumbai_3_20181117232924_20181117233334.jpg
Shivaji Park,3, 7 kms  from city center ,site-seeing,60,mumbai,https://www.holidify.com/images/cmsuploads/square/Shivaji_Park_Ground_20181117233531_20181117234535.jpg
Chota Kashmir,3, 9 kms  from city center ,site-seeing,61,mumbai,https://www.holidify.com/images/cmsuploads/square/P1030877c_20171223192244_20181117235106_20181117235557.jpg
BMC Forest Theme Garden,3, 12 kms  from city center ,site-seeing,62,mumbai,https://www.holidify.com/images/cmsuploads/square/m_20181118000105_20181118000609.PNG
Maharashtra Nature Park,3, 3 kms  from city center ,site-seeing,63,mumbai,https://www.holidify.com/images/cmsuploads/square/n_20181118000851_20181118001223.PNG
 Pandavkada Falls,3, 18 kms  from city center ,site-seeing,64,mumbai,https://www.holidify.com/images/cmsuploads/square/Pandavkada_20181120213801_20181120214023.jpg
Bhagirath Falls,3, 0 kms  from city center ,site-seeing,65,mumbai,https://www.holidify.com/images/cmsuploads/square/n_20181120214726_20181120214846.PNG
